站号,站名,观测时间,气温4次平均,最高气温,最低气温,20-20降水量,本站气压4次平均,相对湿度4次平均,最小相对湿度,10分钟风速4次平均,日最大风风速,日照时数合计
53698,石家庄,2014-01-01,9.8,15.2,6.9,0.0,1002.8,19,14,3.3,6.8,8.0
53798,邢台,2014-01-01,8.3,17.0,3.2,0.0,1006.8,24,12,1.2,2.7,7.5
53698,石家庄,2014-01-02,5.6,11.5,0.6,0.0,1005.2,34,19,1.4,3.4,4.8
53798,邢台,2014-01-02,5.2,11.1,0.6,0.0,1008.3,38,23,0.8,1.8,5.6
53698,石家庄,2014-01-03,6.2,9.4,3.4,0.0,1009.2,28,21,2.0,4.6,7.5
53798,邢台,2014-01-03,5.3,9.6,2.9,0.0,1012.2,33,23,0.8,4.4,7.3
53698,石家庄,2014-01-04,1.4,7.2,-3.8,0.0,1008.8,48,32,2.2,3.2,6.0
53798,邢台,2014-01-04,3.8,10.3,-1.4,0.0,1012.0,47,28,1.0,3.3,6.9
53698,石家庄,2014-01-05,1.1,8.0,-4.2,0.0,1011.2,52,22,1.8,3.9,7.1
53798,邢台,2014-01-05,2.2,7.1,-0.2,0.0,1014.6,53,34,1.8,3.4,2.6
53698,石家庄,2014-01-06,-1.6,1.9,-4.6,0.0,1012.5,67,51,1.3,3.0,0.0
53798,邢台,2014-01-06,0.2,4.1,-2.8,0.0,1015.6,63,49,0.9,2.4,0.0
53698,石家庄,2014-01-07,-0.2,3.6,-2.6,0.0,1013.6,78,58,1.0,2.3,0.0
53798,邢台,2014-01-07,1.1,2.9,-0.4,0.0,1016.5,65,45,1.4,3.1,0.0
53698,石家庄,2014-01-08,-2.1,1.5,-4.3,0.0,1019.8,59,26,1.3,3.4,3.3
53798,邢台,2014-01-08,0.2,2.7,-1.9,0.0,1022.9,59,40,1.1,2.8,0.0
53698,石家庄,2014-01-09,-3.3,1.5,-6.8,0.0,1018.8,45,19,1.6,3.6,8.3
53798,邢台,2014-01-09,-2.4,1.8,-5.1,0.0,1022.4,70,44,0.6,2.1,0.0
53698,石家庄,2014-01-10,-1.3,4.3,-6.6,0.0,1017.8,37,18,1.4,4.3,8.2
53798,邢台,2014-01-10,-0.8,4.7,-4.9,0.0,1021.3,50,30,1.1,2.0,5.8
53698,石家庄,2014-01-11,-0.6,5.7,-4.3,0.0,1017.4,46,21,0.8,3.9,6.7
53798,邢台,2014-01-11,-0.2,5.1,-4.2,0.0,1020.8,58,44,0.9,1.8,0.0
53698,石家庄,2014-01-12,-1.8,3.0,-5.3,0.0,1022.7,39,19,1.1,3.8,5.9
53798,邢台,2014-01-12,0.4,4.4,-1.7,0.0,1026.3,35,19,1.3,3.1,7.0
53698,石家庄,2014-01-13,-2.7,4.1,-7.7,0.0,1018.8,40,21,1.2,3.4,6.6
53798,邢台,2014-01-13,-0.8,5.8,-6.1,0.0,1022.3,40,20,0.8,2.7,6.3
53698,石家庄,2014-01-14,-2.0,2.6,-5.0,0.0,1020.9,40,28,1.4,2.7,6.2
53798,邢台,2014-01-14,0.1,4.7,-3.3,0.0,1024.1,41,32,1.5,2.2,4.3
53698,石家庄,2014-01-15,-1.6,3.6,-7.4,0.0,1018.1,49,27,2.0,3.5,4.0
53798,邢台,2014-01-15,-1.4,4.4,-5.5,0.0,1021.6,65,43,1.0,2.6,0.0
53698,石家庄,2014-01-16,-1.1,5.9,-5.7,0.0,1014.4,63,32,0.9,2.4,5.9
53798,邢台,2014-01-16,-0.8,3.8,-3.7,0.0,1018.0,73,53,0.9,3.1,0.0
53698,石家庄,2014-01-17,-2.6,2.8,-5.4,0.0,1018.8,80,59,0.6,2.8,0.0
53798,邢台,2014-01-17,-1.8,1.1,-4.6,0.0,1022.1,77,66,1.0,3.6,0.0
53698,石家庄,2014-01-18,1.8,7.3,-5.0,0.0,1019.7,33,20,2.3,3.6,7.1
53798,邢台,2014-01-18,0.9,9.8,-6.0,0.0,1023.1,49,21,1.2,2.3,7.4
53698,石家庄,2014-01-19,2.6,10.4,-2.3,0.0,1012.2,41,10,2.1,8.6,1.0
53798,邢台,2014-01-19,3.3,9.3,-0.6,0.0,1015.7,42,10,1.2,4.3,1.1
53698,石家庄,2014-01-20,2.6,7.3,-0.3,0.0,1017.8,19,12,3.1,7.1,8.7
53798,邢台,2014-01-20,3.9,8.3,1.7,0.0,1021.5,16,10,1.9,6.1,8.3
